name,drs_uri,study_registration,study_id,participant_id,specimen_id,experimental_strategy,file_format
SRR5935743_1.fastq,drs://drs.hmpdacc.org/mZBm6TYnDQoS,"tag:hmpdacc.org,2022-04-04:",IBDMDB,PRJNA395569_H4039,SAMN07509920,whole metagenome sequencing assay,FASTQ
SRR5950647_1.fastq,drs://drs.hmpdacc.org/DGLpSDR29kHp,"tag:hmpdacc.org,2022-04-04:",IBDMDB,PRJNA395569_H4042,SAMN07532775,whole metagenome sequencing assay,FASTQ
